event_id,timestamp,from_bank,from_account_token,to_bank,to_account_token,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,source_type,verified
ibm_35ae25566e16e1c450439f0f,2026/08/01 10:00,Bank of America,acct_c3d55b9a23b53dc1ef31,PNC Bank,acct_111ae322668205d096ee,34223.44,US Dollar,34223.44,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_df349ba40f207718c231b76d,2026/08/01 14:00,Wells Fargo,acct_9db480bf41c306c7d176,Wells Fargo,acct_f32c1b2889844127af7d,67326.18,US Dollar,67326.18,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_eafa9dae47bcdaff105fbb60,2026/08/01 18:00,JPMorgan Chase,acct_7507c7d8c377c17e54ea,Citibank,acct_055b12ebe40ac76503ea,63900.75,US Dollar,63900.75,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_a9fe4540532e5bf2c774e101,2026/08/01 20:00,Bank of America,acct_f4d123765ef1a686d9f8,Wells Fargo,acct_455705769b90fab9bbc5,46744.48,US Dollar,46744.48,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_c99218854b39795892dc9e30,2026/08/01 22:00,Wells Fargo,acct_b1a84ce3372239bf8d85,Bank of America,acct_b008606c1ae1cd304537,64154.47,US Dollar,64154.47,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_123c12b72be62922ab626eaf,2026/08/02 00:00,JPMorgan Chase,acct_cc16c908a4d14eeb51ad,PNC Bank,acct_593a03f191675455be8c,55818.70,US Dollar,55818.70,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_9339f2f72a5a2d342d372179,2026/08/02 02:00,JPMorgan Chase,acct_c28df38cd7e4aae8589b,Citibank,acct_32f37a1d52c4ab1461d0,57110.60,US Dollar,57110.60,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_ea60976aaa376c1a123d1687,2026/08/02 10:00,Citibank,acct_df5dbaee09f1bcc0e82d,PNC Bank,acct_a2008733796deba71a4f,50193.31,US Dollar,50193.31,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_e5839c5669f0eca1b56a5845,2026/08/02 12:00,PNC Bank,acct_5f381c03885855c1631c,PNC Bank,acct_8405d8adf287fa919c34,6510.34,US Dollar,6510.34,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_1496aa2a51bfb7c4ffde5c8f,2026/08/02 14:00,JPMorgan Chase,acct_ea79a660954c54671cc9,Wells Fargo,acct_04aa5f15f73f7a16eae2,67629.79,US Dollar,67629.79,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_5a5932ca6fd60ecbb99ee3ee,2026/08/02 16:00,PNC Bank,acct_9f04c888a2473568c11a,JPMorgan Chase,acct_2510ebf41f0cca707451,56590.31,US Dollar,56590.31,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_911c87eb9926d456bdc2d82a,2026/08/02 18:00,Citibank,acct_dcdc8d3eed00faf2a947,JPMorgan Chase,acct_8795b7c874c8af3aae62,45790.77,US Dollar,45790.77,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
ibm_a5c94b9b6f0ae04bd1ad4aec,2026/08/02 22:00,Citibank,acct_891158752308f53a35e9,Bank of America,acct_fe67660d75ef0e12f84d,55172.19,US Dollar,55172.19,US Dollar,ACH,PUBLIC_SYNTHETIC_IBM_AML,0
